model_base,series,action_type,connect_flange,L1,L2,m1,m2,A,H1,H2,D,G,base_price_normal,base_price_low,base_price_high,body_size,cylinder_size,description
SF10-150SR3-6,SF,SR,ISO 5211 F10,350,467,76,143.5,40,82,100,207,NPT1/4",2800,3200,3500,10,150,SF10弹簧复位执行器 150mm缸径
SF10-170SR3-6,SF,SR,ISO 5211 F10,350,467,76,155.5,40,82,100,231,NPT3/8",2900,3300,3600,10,170,SF10弹簧复位执行器 170mm缸径
SF12-170SR3-6,SF,SR,ISO 5211 F12,391,510,82,165.5,50,84,110,231,NPT3/8",3200,3600,3900,12,170,SF12弹簧复位执行器 170mm缸径
SF12-200SR3-6,SF,SR,ISO 5211 F12,391,510,82,165.5,50,84,110,255,NPT3/8",3500,3900,4200,12,200,SF12弹簧复位执行器 200mm缸径
SF14-200SR3-6,SF,SR,ISO 5211 F14,446,618,89,188,60,95,121,255,NPT3/8",4200,4600,4900,14,200,SF14弹簧复位执行器 200mm缸径
SF14-250SR3-6,SF,SR,ISO 5211 F14,446,618,89,215,60,95,121,310,NPT1/2",4800,5200,5500,14,250,SF14弹簧复位执行器 250mm缸径
SF14-300SR3-6,SF,SR,ISO 5211 F14,446,618,89,242.5,60,95,121,356,NPT1/2",5400,5800,6100,14,300,SF14弹簧复位执行器 300mm缸径
SF16-250SR3-6,SF,SR,ISO 5211 F16,513,774,105,230,75,107,139,310,NPT1/2",6200,6600,6900,16,250,SF16弹簧复位执行器 250mm缸径
SF16-300SR3-6,SF,SR,ISO 5211 F16,513,774,105,257.5,75,107,139,365,NPT1/2",7000,7400,7700,16,300,SF16弹簧复位执行器 300mm缸径
SF16-350SR3-6,SF,SR,ISO 5211 F16,513,774,105,282.5,75,107,139,415,NPT1/2",7800,8200,8500,16,350,SF16弹簧复位执行器 350mm缸径
SF25-350SR3-6,SF,SR,ISO 5211 F25,592,940,150,297.5,90,118,160,415,NPT1/2",11000,11500,11900,25,350,SF25弹簧复位执行器 350mm缸径
SF25-400SR3-6,SF,SR,ISO 5211 F25,597,940,150,318,90,118,160,456,NPT3/4",12500,13000,13400,25,400,SF25弹簧复位执行器 400mm缸径
SF25-450SR3-6,SF,SR,ISO 5211 F25,605,940,150,348,90,118,160,516,NPT3/4",14000,14500,14900,25,450,SF25弹簧复位执行器 450mm缸径
SF30-450SR3-6,SF,SR,ISO 5211 F30,715,1165,175,368,110,144,176,516,NPT3/4",18000,18500,18900,30,450,SF30弹簧复位执行器 450mm缸径
SF30-500SR3-6,SF,SR,ISO 5211 F30,715,1165,175,395,110,144,176,570,NPT3/4",20000,20500,20900,30,500,SF30弹簧复位执行器 500mm缸径
SF30-550SR3-6,SF,SR,ISO 5211 F30,715,1165,175,420,110,144,176,620,NPT3/4",22000,22500,22900,30,550,SF30弹簧复位执行器 550mm缸径
SF35-550SR3-6,SF,SR,ISO 5211 F35,833,1511,207.5,450,140,181,194,620,NPT3/4",28000,28500,28900,35,550,SF35弹簧复位执行器 550mm缸径
SF35-600SR3-6,SF,SR,ISO 5211 F35,851,1511,207.5,475,140,181,194,670,NPT1",31000,31500,31900,35,600,SF35弹簧复位执行器 600mm缸径
SF35-700SR3-6,SF,SR,ISO 5211 F35,851,1511,207.5,525,140,181,194,770,NPT1",35000,35500,35900,35,700,SF35弹簧复位执行器 700mm缸径
SF40-600SR3-6,SF,SR,ISO 5211 F40,982,1760,237.5,505,170,196,216,670,NPT1",38000,38500,38900,40,600,SF40弹簧复位执行器 600mm缸径
SF40-700SR3-6,SF,SR,ISO 5211 F40,982,1760,237.5,555,170,196,216,770,NPT1",43000,43500,43900,40,700,SF40弹簧复位执行器 700mm缸径
SF40-800SR3-6,SF,SR,ISO 5211 F40,986,1760,237.5,610,170,196,216,880,NPT1.1/2",48000,48500,48900,40,800,SF40弹簧复位执行器 800mm缸径
SF48-800SR3-6,SF,SR,ISO 5211 F48,1131,2283,280,640,200,224,243,880,NPT1.1/2",58000,58500,58900,48,800,SF48弹簧复位执行器 800mm缸径
SF48-900SR3-6,SF,SR,ISO 5211 F48,1151,2283,280,695,200,224,243,990,NPT2",65000,65500,65900,48,900,SF48弹簧复位执行器 900mm缸径
SF48-1000SR3-6,SF,SR,ISO 5211 F48,1151,2283,280,745,200,224,243,1090,NPT2",72000,72500,72900,48,1000,SF48弹簧复位执行器 1000mm缸径
SF60-800SR3-6,SF,SR,ISO 5211 F60,1395,3025,343,710,270,230,258,880,NPT1.1/2",88000,88500,88900,60,800,SF60弹簧复位执行器 800mm缸径
SF60-900SR3-6,SF,SR,ISO 5211 F60,1415,3025,343,765,270,230,258,990,NPT2",98000,98500,98900,60,900,SF60弹簧复位执行器 900mm缸径
SF60-1000SR3-6,SF,SR,ISO 5211 F60,1415,3025,343,815,270,230,258,1090,NPT2",108000,108500,108900,60,1000,SF60弹簧复位执行器 1000mm缸径
SF60-1100SR3-6,SF,SR,ISO 5211 F60,1415,3025,343,865,270,230,258,1190,NPT2",118000,118500,118900,60,1100,SF60弹簧复位执行器 1100mm缸径
SF10-150DA,SF,DA,ISO 5211 F10,350,127,76,143.5,40,82,100,207,NPT1/4",2300,2600,2900,10,150,SF10双作用执行器 150mm缸径
SF10-170DA,SF,DA,ISO 5211 F10,350,127,76,155.5,40,82,100,231,NPT3/8",2400,2700,3000,10,170,SF10双作用执行器 170mm缸径
