model_base,series,mechanism,action_type,spring_range,base_price_normal,base_price_low,base_price_high,manual_override_model,manual_override_price,seal_kit_price,torque_data,dimensions
AT-SR52K8,AT,Rack & Pinion,SR,K8,75,77,86,SD-1,127,1.5,"{""spring_end"":7.7,""air_start_0.55MPa"":9.9,""air_end_0.55MPa"":6.7}","{""A"":147,""B"":65,""H"":92}"
AT-SR63K8,AT,Rack & Pinion,SR,K8,102,105,122,SD-1,127,2.6,"{""spring_end"":12.8,""air_start_0.55MPa"":16.4,""air_end_0.55MPa"":9.9}","{""A"":168,""B"":72,""H"":105}"
AT-SR75K8,AT,Rack & Pinion,SR,K8,128,132,153,SD-1,127,3.0,"{""spring_end"":20.2,""air_start_0.55MPa"":25.3,""air_end_0.55MPa"":16.9}","{""A"":184,""B"":81,""H"":120}"
AT-SR83K8,AT,Rack & Pinion,SR,K8,157,162,182,SD-2,167,3.5,"{""spring_end"":28.8,""air_start_0.55MPa"":34.7,""air_end_0.55MPa"":23.3}","{""A"":204,""B"":92,""H"":129}"
AT-SR92K8,AT,Rack & Pinion,SR,K8,196,202,232,SD-2,167,4.3,"{""spring_end"":44.1,""air_start_0.55MPa"":55.2,""air_end_0.55MPa"":38.3}","{""A"":210,""B"":110,""H"":153}"
AT-SR105K8,AT,Rack & Pinion,SR,K8,252,258,297,SD-3,249,4.9,"{""spring_end"":66.5,""air_start_0.55MPa"":82.5,""air_end_0.55MPa"":56}","{""A"":268,""B"":110,""H"":153}"
AT-SR125K8,AT,Rack & Pinion,SR,K8,366,375,417,SD-3,249,6.5,"{""spring_end"":94,""air_start_0.55MPa"":125,""air_end_0.55MPa"":84}","{""A"":301,""B"":128,""H"":175}"
AT-SR140K8,AT,Rack & Pinion,SR,K8,533,544,589,SD-4,407,8.3,"{""spring_end"":146,""air_start_0.55MPa"":206,""air_end_0.55MPa"":137}","{""A"":340,""B"":158,""H"":192}"
AT-SR160K8,AT,Rack & Pinion,SR,K8,737,751,801,SD-4,407,9.9,"{""spring_end"":248,""air_start_0.55MPa"":333,""air_end_0.55MPa"":223}","{""A"":390,""B"":188,""H"":217}"
AT-SR190K8,AT,Rack & Pinion,SR,K8,1154,1180,1281,SD-5,702,19.9,"{""spring_end"":463,""air_start_0.55MPa"":618,""air_end_0.55MPa"":400}","{""A"":458,""B"":210,""H"":245}"
AT-SR210K8,AT,Rack & Pinion,SR,K8,1384,1412,1527,SD-5,702,21.3,"{""spring_end"":586,""air_start_0.55MPa"":821,""air_end_0.55MPa"":530}","{""A"":532,""B"":210,""H"":256}"
AT-SR240K8,AT,Rack & Pinion,SR,K8,1969,2013,2146,SD-6,932,24.8,"{""spring_end"":912,""air_start_0.55MPa"":1210,""air_end_0.55MPa"":780}","{""A"":602,""B"":245,""H"":319}"
AT-SR270K8,AT,Rack & Pinion,SR,K8,2950,2999,3141,SD-7,1368,25.8,"{""spring_end"":1458,""air_start_0.55MPa"":1752,""air_end_0.55MPa"":1139}","{""A"":722,""B"":273,""H"":356}"
AT-SR300K8,AT,Rack & Pinion,SR,K8,4466,4552,4666,7寸球墨,2850,42.3,"{""spring_end"":2193,""air_start_0.55MPa"":2630,""air_end_0.55MPa"":1746}","{""A"":742,""B"":324,""H"":378}"
AT-SR350K8,AT,Rack & Pinion,SR,K8,6852,6952,7131,350-1,4550,53.4,"{""spring_end"":3566,""air_start_0.55MPa"":4278,""air_end_0.55MPa"":2854}",""
AT-SR400K8,AT,Rack & Pinion,SR,K8,9736,9896,10106,450-1,5850,76.8,"{""spring_end"":5140,""air_start_0.55MPa"":6168,""air_end_0.55MPa"":4136}",""
AT-DA52,AT,Rack & Pinion,DA,,64,66,76,SD-1,127,1.5,"{""0.55MPa"":11}","{""A"":147,""B"":65,""H"":92}"
AT-DA63,AT,Rack & Pinion,DA,,90,93,110,SD-1,127,2.6,"{""0.55MPa"":22}","{""A"":168,""B"":72,""H"":105}"
AT-DA75,AT,Rack & Pinion,DA,,110,115,135,SD-1,127,3.0,"{""0.55MPa"":40}","{""A"":184,""B"":81,""H"":120}"
AT-DA83,AT,Rack & Pinion,DA,,132,137,158,SD-1,127,3.5,"{""0.55MPa"":55}","{""A"":204,""B"":92,""H"":129}"
AT-DA92,AT,Rack & Pinion,DA,,169,175,205,SD-2,167,4.3,"{""0.55MPa"":86}","{""A"":210,""B"":110,""H"":153}"
AT-DA105,AT,Rack & Pinion,DA,,216,222,255,SD-3,249,4.9,"{""0.55MPa"":125}","{""A"":268,""B"":110,""H"":153}"
AT-DA125,AT,Rack & Pinion,DA,,312,321,357,SD-3,249,6.5,"{""0.55MPa"":182}","{""A"":301,""B"":128,""H"":175}"
AT-DA140,AT,Rack & Pinion,DA,,439,450,489,SD-4,407,8.3,"{""0.55MPa"":276}","{""A"":340,""B"":158,""H"":192}"
AT-DA160,AT,Rack & Pinion,DA,,595,608,657,SD-4,407,9.9,"{""0.55MPa"":470}","{""A"":390,""B"":188,""H"":217}"
AT-DA190,AT,Rack & Pinion,DA,,981,1006,1099,SD-4,407,19.9,"{""0.55MPa"":732}","{""A"":458,""B"":210,""H"":245}"
AT-DA210,AT,Rack & Pinion,DA,,1156,1183,1291,SD-5,702,21.3,"{""0.55MPa"":1463}","{""A"":532,""B"":210,""H"":256}"
AT-DA240,AT,Rack & Pinion,DA,,1670,1714,1822,SD-5,702,24.8,"{""0.55MPa"":2116}","{""A"":602,""B"":245,""H"":319}"
AT-DA270,AT,Rack & Pinion,DA,,2558,2608,2732,SD-6,932,25.8,"{""0.55MPa"":3216}","{""A"":722,""B"":273,""H"":356}"
AT-DA300,AT,Rack & Pinion,DA,,3850,3936,4077,SD-7,1368,42.3,"{""0.55MPa"":4197}","{""A"":742,""B"":324,""H"":378}"
AT-DA350,AT,Rack & Pinion,DA,,6034,6134,6313,7寸球墨,2850,53.4,"{""0.55MPa"":7216}",""
AT-DA400,AT,Rack & Pinion,DA,,8900,9110,9110,350-1,4550,76.8,"{""0.55MPa"":11015}",""
GY-52SR,GY,Rack & Pinion,SR,,770,770,770,,,,,"{""torque_0.5MPa"":10}",""
GY-63SR,GY,Rack & Pinion,SR,,860,860,860,,,,,"{""torque_0.5MPa"":20}",""
GY-83SR,GY,Rack & Pinion,SR,,1260,1260,1260,,,,,"{""torque_0.5MPa"":40}",""
GY-105SR,GY,Rack & Pinion,SR,,1970,1970,1970,,,,,"{""torque_0.5MPa"":80}",""
GY-125SR,GY,Rack & Pinion,SR,,2770,2770,2770,,,,,"{""torque_0.5MPa"":160}",""
GY-140SR,GY,Rack & Pinion,SR,,4070,4070,4070,,,,,"{""torque_0.5MPa"":250}",""
GY-160SR,GY,Rack & Pinion,SR,,5725,5725,5725,,,,,"{""torque_0.5MPa"":400}",""
GY-210SR,GY,Rack & Pinion,SR,,15010,15010,15010,,,,,"{""torque_0.5MPa"":1000}",""
GY-240SR,GY,Rack & Pinion,SR,,25550,25550,25550,,,,,"{""torque_0.5MPa"":1800}",""
GY-270SR,GY,Rack & Pinion,SR,,36800,36800,36800,,,,,"{""torque_0.5MPa"":2800}",""
GY-300SR,GY,Rack & Pinion,SR,,40950,40950,40950,,,,,"{""torque_0.5MPa"":4000}",""
GY-400SR,GY,Rack & Pinion,SR,,73450,73450,73450,,,,,"{""torque_0.5MPa"":8000}",""
GY-52,GY,Rack & Pinion,DA,,740,740,740,,,,,"{""torque_0.5MPa"":10}",""
GY-63,GY,Rack & Pinion,DA,,820,820,820,,,,,"{""torque_0.5MPa"":20}",""
GY-83,GY,Rack & Pinion,DA,,1200,1200,1200,,,,,"{""torque_0.5MPa"":40}",""
GY-105,GY,Rack & Pinion,DA,,1860,1860,1860,,,,,"{""torque_0.5MPa"":80}",""
GY-125,GY,Rack & Pinion,DA,,2620,2620,2620,,,,,"{""torque_0.5MPa"":160}",""
GY-160,GY,Rack & Pinion,DA,,5345,5345,5345,,,,,"{""torque_0.5MPa"":400}",""
GY-210,GY,Rack & Pinion,DA,,14360,14360,14360,,,,,"{""torque_0.5MPa"":1000}",""
GY-240,GY,Rack & Pinion,DA,,24800,24800,24800,,,,,"{""torque_0.5MPa"":1800}",""
GY-270,GY,Rack & Pinion,DA,,35950,35950,35950,,,,,"{""torque_0.5MPa"":2800}",""
GY-300,GY,Rack & Pinion,DA,,39800,39800,39800,,,,,"{""torque_0.5MPa"":4000}",""
GY-400,GY,Rack & Pinion,DA,,71900,71900,71900,,,,,"{""torque_0.5MPa"":8000}",""
