model_base,body_size,cylinder_size,action_type,spring_range,base_price,torque_symmetric,torque_canted,connect_flange,L1,L2,m1,m2,A,H1,H2,D,G
SF10-150DA,SF10,150,DA,,1339,"{""0.3_0"":309,""0.3_45"":185,""0.3_90"":309,""0.4_0"":412,""0.4_45"":247,""0.4_90"":412,""0.5_0"":515,""0.5_45"":309,""0.5_90"":515,""0.6_0"":618,""0.6_45"":371,""0.6_90"":618}","{""0.3_0"":417,""0.3_45"":200,""0.3_90"":282,""0.4_0"":556,""0.4_45"":267,""0.4_90"":376,""0.5_0"":695,""0.5_45"":333,""0.5_90"":470,""0.6_0"":834,""0.6_45"":400,""0.6_90"":564}","ISO 5211 F10",350,127,76,143.5,40,82,100,207,"NPT1/4"""
SF10-170DA,SF10,170,DA,,1507,"{""0.3_0"":399,""0.3_45"":240,""0.3_90"":399,""0.4_0"":533,""0.4_45"":320,""0.4_90"":533,""0.5_0"":666,""0.5_45"":399,""0.5_90"":666,""0.6_0"":799,""0.6_45"":479,""0.6_90"":799}","{""0.3_0"":539,""0.3_45"":259,""0.3_90"":364,""0.4_0"":719,""0.4_45"":345,""0.4_90"":486,""0.5_0"":898,""0.5_45"":431,""0.5_90"":607,""0.6_0"":1078,""0.6_45"":517,""0.6_90"":728}","ISO 5211 F10",350,127,76,155.5,40,82,100,231,"NPT3/8"""
SF12-170DA,SF12,170,DA,,1700,"{""0.3_0"":499,""0.3_45"":300,""0.3_90"":499,""0.4_0"":666,""0.4_45"":399,""0.4_90"":666,""0.5_0"":832,""0.5_45"":499,""0.5_90"":832,""0.6_0"":999,""0.6_45"":599,""0.6_90"":999}","{""0.3_0"":680,""0.3_45"":330,""0.3_90"":461,""0.4_0"":907,""0.4_45"":440,""0.4_90"":614,""0.5_0"":1134,""0.5_45"":550,""0.5_90"":768,""0.6_0"":1361,""0.6_45"":660,""0.6_90"":921}","ISO 5211 F12",391,143,82,165.5,50,84,110,231,"NPT3/8"""
SF12-200DA,SF12,200,DA,,1843,"{""0.3_0"":691,""0.3_45"":415,""0.3_90"":691,""0.4_0"":921,""0.4_45"":553,""0.4_90"":921,""0.5_0"":1152,""0.5_45"":691,""0.5_90"":1152,""0.6_0"":1382,""0.6_45"":829,""0.6_90"":1382}","{""0.3_0"":941,""0.3_45"":456,""0.3_90"":637,""0.4_0"":1255,""0.4_45"":609,""0.4_90"":850,""0.5_0"":1569,""0.5_45"":761,""0.5_90"":1062,""0.6_0"":1883,""0.6_45"":913,""0.6_90"":1275}","ISO 5211 F12",391,143,82,178,50,84,110,255,"NPT3/8"""
SF14-200DA,SF14,200,DA,,2168,"{""0.3_0"":773,""0.3_45"":464,""0.3_90"":773,""0.4_0"":1031,""0.4_45"":619,""0.4_90"":1031,""0.5_0"":1289,""0.5_45"":773,""0.5_90"":1289,""0.6_0"":1547,""0.6_45"":928,""0.6_90"":1547}","{""0.3_0"":1045,""0.3_45"":502,""0.3_90"":706,""0.4_0"":1393,""0.4_45"":670,""0.4_90"":942,""0.5_0"":1741,""0.5_45"":837,""0.5_90"":1177,""0.6_0"":2090,""0.6_45"":1004,""0.6_90"":1413}","ISO 5211 F14",446,173,89,188,60,95,121,255,"NPT3/8"""
SF14-250DA,SF14,250,DA,,2540,"{""0.3_0"":1351,""0.3_45"":810,""0.3_90"":1351,""0.4_0"":1801,""0.4_45"":1081,""0.4_90"":1801,""0.5_0"":2251,""0.5_45"":1351,""0.5_90"":2251,""0.6_0"":2701,""0.6_45"":1621,""0.6_90"":2701}","{""0.3_0"":1825,""0.3_45"":877,""0.3_90"":1234,""0.4_0"":2433,""0.4_45"":1169,""0.4_90"":1645,""0.5_0"":3041,""0.5_45"":1462,""0.5_90"":2056,""0.6_0"":3650,""0.6_45"":1754,""0.6_90"":2467}","ISO 5211 F14",446,173,89,215,60,95,121,310,"NPT1/2"""
SF14-300DA,SF14,300,DA,,2916,"{""0.3_0"":1955,""0.3_45"":1173,""0.3_90"":1955,""0.4_0"":2607,""0.4_45"":1564,""0.4_90"":2607,""0.5_0"":3258,""0.5_45"":1955,""0.5_90"":3258,""0.6_0"":3910,""0.6_45"":2346,""0.6_90"":3910}","{""0.3_0"":2641,""0.3_45"":1269,""0.3_90"":1785,""0.4_0"":3521,""0.4_45"":1692,""0.4_90"":2381,""0.5_0"":4402,""0.5_45"":2116,""0.5_90"":2976,""0.6_0"":5282,""0.6_45"":2539,""0.6_90"":3571}","ISO 5211 F14",446,173,89,242.5,60,95,121,356,"NPT1/2"""
SF16-250DA,SF16,250,DA,,3207,"{""0.3_0"":1682,""0.3_45"":1009,""0.3_90"":1682,""0.4_0"":2243,""0.4_45"":1346,""0.4_90"":2243,""0.5_0"":2804,""0.5_45"":1682,""0.5_90"":2804,""0.6_0"":3364,""0.6_45"":2019,""0.6_90"":3364}","{""0.3_0"":2265,""0.3_45"":1084,""0.3_90"":1530,""0.4_0"":3020,""0.4_45"":1446,""0.4_90"":2040,""0.5_0"":3775,""0.5_45"":1807,""0.5_90"":2550,""0.6_0"":4530,""0.6_45"":2169,""0.6_90"":3060}","ISO 5211 F16",513,198,112,230,75,107,139,310,"NPT1/2"""
SF16-300DA,SF16,300,DA,,3609,"{""0.3_0"":2437,""0.3_45"":1462,""0.3_90"":2437,""0.4_0"":3250,""0.4_45"":1950,""0.4_90"":3250,""0.5_0"":4062,""0.5_45"":2437,""0.5_90"":4062,""0.6_0"":4875,""0.6_45"":2925,""0.6_90"":4875}","{""0.3_0"":3282,""0.3_45"":1571,""0.3_90"":2217,""0.4_0"":4376,""0.4_45"":2095,""0.4_90"":2956,""0.5_0"":5470,""0.5_45"":2619,""0.5_90"":3695,""0.6_0"":6564,""0.6_45"":3143,""0.6_90"":4434}","ISO 5211 F16",513,198,112,257.5,75,107,139,365,"NPT1/2"""
SF16-350DA,SF16,350,DA,,4063,"{""0.3_0"":3312,""0.3_45"":1987,""0.3_90"":3312,""0.4_0"":4416,""0.4_45"":2649,""0.4_90"":4416,""0.5_0"":5520,""0.5_45"":3312,""0.5_90"":5520,""0.6_0"":6623,""0.6_45"":3974,""0.6_90"":6623}","{""0.3_0"":4459,""0.3_45"":2135,""0.3_90"":3012,""0.4_0"":5945,""0.4_45"":2847,""0.4_90"":4016,""0.5_0"":7432,""0.5_45"":3558,""0.5_90"":5021,""0.6_0"":8918,""0.6_45"":4270,""0.6_90"":6025}","ISO 5211 F16",513,198,112,282.5,75,107,139,415,"NPT1/2"""
SF25-350DA,SF25,350,DA,,5225,"{""0.3_0"":3956,""0.3_45"":2373,""0.3_90"":3956,""0.4_0"":5274,""0.4_45"":3165,""0.4_90"":5274,""0.5_0"":6593,""0.5_45"":3956,""0.5_90"":6593,""0.6_0"":7912,""0.6_45"":4747,""0.6_90"":7912}","{""0.3_0"":5334,""0.3_45"":2558,""0.3_90"":3605,""0.4_0"":7112,""0.4_45"":3411,""0.4_90"":4806,""0.5_0"":8891,""0.5_45"":4264,""0.5_90"":6008,""0.6_0"":10669,""0.6_45"":5116,""0.6_90"":7209}","ISO 5211 F25",592,227,150,297.5,90,118,160,415,"NPT1/2"""
SF25-400DA,SF25,400,DA,,5771,"{""0.3_0"":5036,""0.3_45"":3022,""0.3_90"":5036,""0.4_0"":6715,""0.4_45"":4029,""0.4_90"":6715,""0.5_0"":8393,""0.5_45"":5036,""0.5_90"":8393,""0.6_0"":10072,""0.6_45"":6043,""0.6_90"":10072}","{""0.3_0"":6791,""0.3_45"":3257,""0.3_90"":4589,""0.4_0"":9055,""0.4_45"":4342,""0.4_90"":6118,""0.5_0"":11318,""0.5_45"":5428,""0.5_90"":7648,""0.6_0"":13582,""0.6_45"":6513,""0.6_90"":9178}","ISO 5211 F25",597,227,150,318,90,118,160,456,"NPT3/4"""
SF25-450DA,SF25,450,DA,,6505,"{""0.3_0"":6387,""0.3_45"":3832,""0.3_90"":6387,""0.4_0"":8516,""0.4_45"":5110,""0.4_90"":8516,""0.5_0"":10645,""0.5_45"":6387,""0.5_90"":10645,""0.6_0"":12774,""0.6_45"":7664,""0.6_90"":12774}","{""0.3_0"":8613,""0.3_45"":4130,""0.3_90"":5820,""0.4_0"":11484,""0.4_45"":5507,""0.4_90"":7760,""0.5_0"":14355,""0.5_45"":6884,""0.5_90"":9700,""0.6_0"":17226,""0.6_45"":8261,""0.6_90"":11640}","ISO 5211 F25",605,227,150,348,90,118,160,516,"NPT3/4"""
